ID,site,context,municipality,county,country,country_code,paroisse,canton,comte,commune,lat,lng
UK-58,Bedd Emlyn,Tombe secondaire 3,Clocaenog,Denbighshire,United Kingdom,GB,NA,NA,NA,NA,53.07243,-3.41096
UK-59,Cefn Goleu Cairn,Crémation 3,Cefn Goleu,Flintshire,United Kingdom,GB,NA,NA,NA,NA,53.14846,-3.23805
UK-60,Breach Farm,NA,Llanbleddian,Glamorgan (Vale of),United Kingdom,GB,NA,NA,NA,NA,51.48284,-3.62669
UK-61,Sutton 268',Crémation C,Llandow,Glamorgan (Vale of),United Kingdom,GB,NA,NA,NA,NA,51.44809,-3.49602
UK-62,Sutton 268',Inhumation 1,Llandow,Glamorgan (Vale of),United Kingdom,GB,NA,NA,NA,NA,51.44809,-3.49602
UK-63,Gray Hill,NA,Llanfair Discoed,Monmouthshire,United Kingdom,GB,NA,NA,NA,NA,51.62776,-2.80218
UK-64,Cwm Car,NA,Brecknock,Powys,United Kingdom,GB,NA,NA,NA,NA,51.94612,-3.38887
UK-65,Twr Gwyn Mawr,NA,Carno,Powys,United Kingdom,GB,NA,NA,NA,NA,52.57272,-3.53818
UK-66,Sarn-Y-Bryn-Caled,Crémation primaire,Welshpool,Powys,United Kingdom,GB,NA,NA,NA,NA,52.65973,-3.1471
FR-01,La Motta,NA,Lannion,Côtes-d'Armor,France,FR,NA,NA,NA,NA,48.73255,-3.45542
FR-02,Crec'h-Perros,NA,Perros-Guirec,Côtes-d'Armor,France,FR,NA,NA,NA,NA,48.81454,-3.43963
FR-03,Mouden-Bras,NA,Pleudaniel,Côtes-d'Armor,France,FR,NA,NA,NA,NA,48.76644,-3.14033
FR-04,Rumédon,NA,Ploumiliau,Côtes-d'Armor,France,FR,NA,NA,NA,NA,48.68083,-3.52277
FR-05,Tossen-Kergourognon,NA,Prat,Côtes-d'Armor,France,FR,NA,NA,NA,NA,48.6775,-3.29638888888889
FR-06,Tossen-Rugouec,NA,Prat,Côtes-d'Armor,France,FR,NA,NA,NA,NA,48.6775,-3.29638888888889
FR-07,Brun-Bras,NA,Saint-Adrien,Côtes-d'Armor,France,FR,NA,NA,NA,NA,48.4895,-3.13075
FR-08,Porz-ar-Saoz,NA,Trémel,Côtes-d'Armor,France,FR,NA,NA,NA,NA,48.6,-3.61667
FR-09,Tossen-Maharit,NA,Trévérec,Côtes-d'Armor,France,FR,NA,NA,NA,NA,48.65608,-3.05883
FR-10,Kerodou / Parc-ar-Liou,NA,Beuzec-Cap-Sizun,Finistère,France,FR,NA,NA,NA,NA,48.07556,-4.51189
FR-11,Coatanéa,NA,Bourg-Blanc,Finistère,France,FR,NA,NA,NA,NA,48.49875,-4.50621
FR-12,Kergournadec'h,NA,Cléder,Finistère,France,FR,NA,NA,NA,NA,48.66332,-4.10244
FR-13,Le Rhun / Beuzec-Conq,NA,Concarneau,Finistère,France,FR,NA,NA,NA,NA,47.87536,-3.91896
FR-14,Ty-Roué 2,NA,Landeleau,Finistère,France,FR,NA,NA,NA,NA,48.2278,-3.72881
FR-15,Prat-ar-Simon-Pella,NA,Lannilis,Finistère,France,FR,NA,NA,NA,NA,48.57,-4.52196
FR-16,Kerandrèze,NA,Moëlan-sur-Mer,Finistère,France,FR,NA,NA,NA,NA,47.81396,-3.62875
FR-17,Grand-Rosmeur,Second dolmen,Penmarc’h,Finistère,France,FR,NA,NA,NA,NA,47.80615,-4.30628
FR-18,Coatjou-Glas,NA,Plonéis,Finistère,France,FR,NA,NA,NA,NA,48.01731,-4.21049
FR-19,Cosmaner,NA,Plonéour-Lanvern,Finistère,France,FR,NA,NA,NA,NA,47.90324,-4.28346
FR-20,Fao-Youen,NA,Plonéour-Lanvern,Finistère,France,FR,NA,NA,NA,NA,47.90324,-4.28346
FR-21,Kerhué-Bras,NA,Plonéour-Lanvern,Finistère,France,FR,NA,NA,NA,NA,47.90324,-4.28346
FR-22,Kernic,NA,Plouescat,Finistère,France,FR,NA,NA,NA,NA,48.65668,-4.17471
FR-23,Kersandy,NA,Plouhinec,Finistère,France,FR,NA,NA,NA,NA,48.01443,-4.48688
FR-24,Lescongar,NA,Plouhinec,Finistère,France,FR,NA,NA,NA,NA,48.01443,-4.48688
FR-25,Le Souc'h,NA,Plouhinec,Finistère,France,FR,NA,NA,NA,NA,48.01443,-4.48688
FR-26,Cazin,NA,Plouigneau,Finistère,France,FR,NA,NA,NA,NA,48.56726,-3.70142
FR-27,Goarillac'h,NA,Plounévez-Lochrist,Finistère,France,FR,NA,NA,NA,NA,48.61734,-4.21184
