rowname,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39
FR_02_3,-0.028238137729414886,-0.09859274476931859,-0.04941864390156815,-0.07597804668283058,0.017038187332595902,-0.006044000679994869,4.885504225008318e-4,-0.00858218275215056,0.01607457475546375,-0.032478017744513275,0.009815423324493765,0.008827356364484293,-0.01300465582828978,0.0016085633431981296,-0.009037327595450445,-0.014034668474285738,-0.005511866701840526,-0.009011063339911304,-0.0035042396431581913,0.0010880662845712751,-0.003716836269633308,-0.002950700884567837,0.0038847350624840347,0.0016918824413303894,-6.415973394654088e-4,0.0044626279640951685,-0.0014786637080483837,-0.0016205139565030372,-0.0029365977595661756,-4.557596995266506e-4,-1.597856995542503e-4,3.076078932594387e-4,-2.3606930349033496e-4,0.0018997705750942076,5.454014124299162e-6,9.334522866557952e-4,-7.081003174316086e-4,-6.987546042218956e-4,9.07767311254985e-4
FR_02_4,-0.07733865955814913,-0.08670020091414148,0.006606161731334824,-0.0928978533005562,0.004900957727949468,-0.009694870677864917,-0.007394262302953893,0.02000359137918218,0.017552884722271917,-0.0325203681487619,0.013766231811970328,0.002956227058849231,-0.01869796508999613,-6.77857230291573e-4,-1.5920101289296692e-4,0.0045546720018781505,-0.0075999324584009025,-0.009262386050752037,0.002827955633434674,-0.0014321449797517836,0.0012258910520444467,-0.00460192830434933,0.009674337098798143,-0.003602659492641634,-0.005946646968051283,-0.0022773118005469904,0.002471005417172851,2.6748687907845255e-4,-1.9146905689070788e-5,0.0038589794063679126,-9.373838215372769e-4,-0.0011640545749367975,-0.0019103834962826982,0.0027263744592551362,9.15299053304799e-4,-8.241062430837725e-4,-0.00236199520223093,-1.0078227475400287e-4,0.00157986162487574
FR_02_5,-0.011843762494004291,0.038057321299880244,0.030122371004889376,-0.06919525612735039,0.016016321956209525,0.011070547223561532,0.02388025498296687,0.010866263843327395,0.020454068700445256,-0.005836354937770799,-0.011174674451550357,-0.012803261157629317,-0.0035203589849659486,-0.0012710144941010986,-7.585786107393457e-4,0.00540413064209442,-0.007180329493611063,-0.008423138949683637,0.00317042385604825,-0.0017309239052786785,0.00473473433646507,0.0018405918937236929,-0.0024440112706468915,-8.121960319242332e-4,-0.00304424635714508,0.005073747990152795,-0.0014694067846387116,-0.00072268901929969855,0.0012022262241996476,0.002495133437091204,-0.004330127537344783,0.008431221674771854,-8.465774306595618e-4,7.630499654153589e-4,-0.0011179362020611906,-8.246363160927979e-4,-0.0022696174662031193,-3.540812014683106e-4,0.0013722280697667855
FR_02_6,0.09049480824754762,-0.06987828250723595,0.016050352847390034,-0.0757524077821376,0.004821080345955321,-7.639766371250526e-4,-0.005220600103114848,-0.015358524596346053,0.00727623007378744,0.0028482858517787984,2.2181620893006923e-5,-4.4155634127811526e-4,-0.00555215298298203,0.0015123820404063925,0.0077536778872667024,-0.006440124201769441,0.002107558756522229,0.00829801800691747,-0.006193210214737676,-0.006484068051166594,3.9910432140354186e-4,-0.0015966213392391581,-0.0015044713910184596,-0.0017034369602423078,9.54205950664914e-4,-8.489487325892203e-4,-2.7757331284780857e-4,5.854856225914521e-4,3.21878555432185e-4,-0.0019520986645001105,4.8258154133656395e-4,-5.502517007409644e-4,0.001836491861255559,-0.0027632109199787944,0.0016284308463917038,-0.0016840266362586702,-0.002332682070427546,0.0024691427893833496,6.264341029422478e-4
FR_02_7,0.012627803090148843,-0.14360263367950227,0.03671248972797157,-0.104026745403373,0.014842964358009404,-0.020965313537993902,-0.0027916341500178426,0.0023187011516751736,0.005517183533319855,-0.010372504060460867,0.009952895011688568,-0.003327383749683046,-0.014821661060422186,-2.647531049472641e-4,-7.038664198913409e-4,0.0016571835151215318,-3.815239702921353e-4,0.009076367972206551,-0.005272688376498943,-0.0041254574455031785,0.00521229376126345,-0.004296792107694714,0.0020318332615938436,-0.0017311283191194858,-0.0023803059725767016,-0.0029388850530282984,0.004025918041126909,-3.607711213447462e-4,-1.0940645785304925e-5,6.175322426806036e-4,-8.624078390671504e-4,-9.89349991742438e-4,-1.0906157616981746e-4,-3.8056186605325864e-4,-0.00195355951497825,-0.0011623582735950952,-0.0012429175788677604,9.088690479133973e-4,1.558481886449022e-4
FR_02_8,0.0669102277000563,-0.15606116445103346,0.061385380144455264,-0.08023068614774254,0.010690828484850727,0.06437708092019584,-0.0021699653030408917,-0.018342868597664392,-0.007944379079234155,0.007005743510151365,-0.0010550252021332678,-0.005977204682849602,-4.3346501665580636e-4,-0.008681162706733286,-0.0029485608407621615,-0.004945795522188475,0.0010018191633094221,0.008342743621128173,-0.004230977103453773,-0.0016992772937118596,0.0017981766009019277,1.917299369022865e-4,0.0026761968123642857,0.001264712804146133,-7.16125176073663e-4,-0.006193318935009127,0.002155796180519088,0.0059659924518489305,9.157472541358679e-4,-0.0043878059126934,0.0011601311840532531,-0.0024363655677404786,0.0018004794882808142,2.6418838930147474e-4,-0.0021717619602589456,0.0021508766982962484,-0.001197166669721859,4.6400574636681777e-4,-3.633531603810433e-4
FR_02_9,0.0838857674298127,-0.04362435718144979,-0.01219421977331883,-0.06586267850432649,-0.009545484209769806,-0.005774148891578023,-0.020337937994836477,0.0027609855336050205,0.018480433719078367,0.0014188865101577124,-0.0017644241339375103,0.0070604581749973885,-0.00349965072114612,-0.005853315568046589,-2.1936362894983455e-4,0.0042079399722447465,0.016622449223382147,0.005231257960980948,-0.004112526014646949,-0.005951468134852336,0.0027218357456164966,0.0014419124428292718,-0.001873634100157679,-0.0018198911326554469,-0.006387347429413328,0.001205911106458672,-4.946741210545647e-4,-6.792041874650649e-4,0.0031649899564746655,0.001747918095433558,-0.0026271335373869178,-0.0019535122696390044,-0.0018551807924855263,-0.0026653916346031053,0.0013621181090570965,-3.3122730604126716e-4,0.0020758570364116952,-0.005429251060056547,-0.0011453916757078208
FR_04_1,0.06237165656038338,0.05652441808195,0.009858119226991922,-0.03284016752933074,0.013009279082472517,-0.04991642680184257,-0.0034083324456688976,0.022484813429468384,0.01411794574244977,0.020953170015714978,-0.023176194992267158,0.010387116943985744,-0.013178036454898817,0.025169544545514653,-0.010771373379428148,-0.005453704382797634,-0.008295094602670838,0.006332182442082988,-0.004648404505033638,0.006466775077615927,0.0016141140717132255,0.004965436574407967,-0.008121016464716928,0.0031914288792048184,0.0024207013085314083,0.010748626625169871,-0.0012635719646581613,-0.0036309878519619233,-0.003409087200263334,0.001093752436823529,-0.002849778806218808,-0.003606702799481193,-0.006475130210260141,-0.006559620754074665,-0.004727558457007248,-8.451714811926916e-4,0.0011516818601342443,0.005645797890165537,-0.001290379829624858
FR_04_10,0.08538933804855099,0.04446337878554742,-0.08280490174668911,-0.03975223870246075,-0.06279302463300959,0.0453246985295393,-0.01888646828628437,0.040205446836167086,-0.0018851107894471107,-0.024740858860934394,0.02894685488745808,0.012682013277700962,0.0013128700312517877,0.0033960687525216382,-0.002392825310542834,1.335281493434738e-4,0.011736989221124726,-0.015439236047199075,0.011944306029700518,0.005168414055904324,-0.0026971053982459735,0.008459547432380157,-0.001036493656469124,-0.00659506960918445,-0.0019246294136687075,0.004906058621593479,0.004642467009838289,0.003178991784749954,5.455344295639403e-4,-0.003331713937909966,0.006163469256231308,0.004672110577298408,-1.9041060127551122e-4,-0.0024138378707550773,-0.0025185089199078565,0.005751123489230897,8.820738601057705e-4,0.00494216776133615,0.0023014734842387082
FR_04_11,-0.009452665431566106,0.04000612630916384,-0.005948574142338909,-0.0608662976312371,0.023814470512305376,0.04317040818436269,-0.007962754877354015,-0.02941393341162818,0.01157191696174508,-0.013166800823104044,2.377542748963886e-4,-0.012904483086998762,-0.014117356920492199,-0.013745411211104386,0.004183347865292063,-0.010782601605115504,-0.010745933953092602,-0.004430250309322633,0.0012717022432051422,-0.0015370580252077202,0.0016444627575838001,-0.005195309609789649,0.005244741961126281,-0.004280177313810548,-0.006721548063440148,-0.0014880442088883576,-0.00529664907141647,0.00707161590566268,-4.8374873102463974e-4,0.0013224571144675307,-0.0018672219998963687,0.0033061367797219917,0.0016381018265920057,8.778963288749396e-4,-0.0010397339999767656,-9.93735205404204e-4,6.887166344110413e-4,-6.433095017880184e-4,0.0015294799246922198
